#At time x allocated y bytes for process z from I to j
At time 1 allocated 128 bytes for process 1 from 0 to 127
At time 2 allocated 128 bytes for process 2 from 128 to 255
At time 3 allocated 128 bytes for process 3 from 256 to 383
At time 4 allocated 128 bytes for process 4 from 384 to 511
At time 8 freed 128 bytes for process 3 from 256 to 383
At time 9 allocated 128 bytes for process 5 from 256 to 383
At time 11 freed 128 bytes for process 1 from 0 to 127
At time 15 freed 128 bytes for process 2 from 128 to 255
At time 16 freed 128 bytes for process 4 from 384 to 511
At time 19 freed 128 bytes for process 5 from 256 to 383
