At time x	process y	state    	arr w	total z	remain y	wait k
At time 2	process 1	started    	arr 1	total 5	remain 5	wait 1
At time 3	process 1	stopped     arr 1	total 5	remain 4	wait 1 
At time 3	process 2	started    	arr 3	total 4	remain 4	wait 0
At time 4	process 2	stopped     arr 3	total 4	remain 3	wait 0 
At time 4	process 1	resumed     arr 1	total 5	remain 4	wait 1  
At time 5	process 1	stopped     arr 1	total 5	remain 3	wait 1 
At time 5	process 2	resumed     arr 3	total 4	remain 3	wait 1  
At time 6	process 2	stopped     arr 3	total 4	remain 2	wait 1 
At time 6	process 1	resumed     arr 1	total 5	remain 3	wait 2  
At time 7	process 1	stopped     arr 1	total 5	remain 2	wait 2 
At time 7	process 2	resumed     arr 3	total 4	remain 2	wait 2  
